Rank,Name,Revenue($m),Profits($m),Assets($m),Market Value($m),Employees,Website,Alexa Rank,Back Links,Page Authority,Domain Authority,Moz Rank,Pageviews,Worth,Page Size,Code to Text Ratio,Semrush Rank,Keywords,Organic Traffic,Cost (in USD),Adwords Keywords,Adwords Traffic,Adwords Buget (in USD)
381,CommScope Holding,8345.1,-929.5,14431.6,1779,30000,http://www.commscope.com,66573.0,0.0,0/100,0/100,0/10,16520.0,36190.0,65536.0,11.22% (Text size 7.18Kb and  Code size 56.82Kb),,,,,,,
382,Huntsman,8342.0,562,8320.0,3217.2,10000,http://www.huntsman.com,202107.0,0.0,0/100,0/100,0/10,5440.0,11920.0,35911.68,7.21% (Text size 2.53Kb and  Code size 32.54Kb),43933.0,17318.0,32297.0,10788.0,28.0,37.0,33.0
383,American Financial Group,8237.0,897,70130.0,6331,7700,http://www.afginc.com,3347355.0,0.0,0/100,0/100,0/10,328.0,715.4,39802.88,23.82% (Text size 9.26Kb and  Code size 29.61Kb),258861.0,2163.0,4079.0,10384.0,0.0,0.0,0.0
384,Masco,8235.0,935,5027.0,9118,22000,http://www.masco.com,531677.0,0.0,0/100,0/100,0/10,2070.0,4530.0,19271.68,22.68% (Text size 4.27Kb and  Code size 14.55Kb),,,,,,,
385,Sanmina,8233.9,141.5,3905.5,1927.2,38500,http://www.sanmina.com,207939.0,0.0,0/100,0/100,0/10,5290.0,11590.0,65536.0,3.97% (Text size 2.54Kb and  Code size 61.46Kb),,,,,,,
386,Amphenol,8225.4,1155,10815.5,21725.6,74000,http://www.amphenol.com,307173.0,0.0,0/100,0/100,0/10,3580.0,7840.0,65536.0,28.8% (Text size 18.43Kb and  Code size 45.57Kb),,,,,,,
387,Williams,8201.0,850,46040.0,17165.7,4812,http://www.williams.com,199247.0,0.0,0/100,0/100,0/10,5520.0,12090.0,56135.68,10.43% (Text size 5.72Kb and  Code size 49.1Kb),25434.0,4807.0,45593.0,105428.0,0.0,0.0,0.0
390,Andersons,8170.2,18.3,3900.7,628.7,2284,http://www.andersonsinc.com,2680764.0,0.0,0/100,0/100,0/10,410.0,897.9,35041.28,9.21% (Text size 3.15Kb and  Code size 31.07Kb),88272.0,850.0,16091.0,9714.0,0.0,0.0,0.0
391,Westlake Chemical,8118.0,421,13261.0,4900.8,9430,http://www.westlake.com,1064202.0,0.0,0/100,0/100,0/10,1030.0,2260.0,20899.84,13.3% (Text size 2.71Kb and  Code size 17.69Kb),125138.0,1005.0,13588.0,25122.0,0.0,0.0,0.0
392,Constellation Brands,8116.0,3435.9,29231.5,27601.3,9800,http://www.cbrands.com,173240.0,0.0,0/100,0/100,0/10,6350.0,13910.0,65536.0,3.62% (Text size 2.32Kb and  Code size 61.68Kb),,,,,,,
393,Frontier Communications,8107.0,-5911,17488.0,39.9,18317,http://www.frontier.com,8848.0,0.0,0/100,0/100,0/10,124320.0,272260.0,65536.0,28.56% (Text size 18.28Kb and  Code size 45.72Kb),,,,,,,
394,JetBlue Airways,8094.0,569,11918.0,2525.7,19032,http://www.jetblue.com,3948.0,0.0,0/100,0/100,0/10,278620.0,610190.0,65536.0,0.18% (Text size 0.11Kb and  Code size 63.88Kb),,,,,,,
396,Raymond James Financial,8023.0,1034,38830.0,8802.7,14200,http://www.raymondjames.com,93383.0,0.0,0/100,0/100,0/10,11780.0,25800.0,65536.0,33.63% (Text size 21.53Kb and  Code size 42.47Kb),,,,,,,
397,Foot Locker,8005.0,491,6589.0,2297.4,33294,http://www.footlocker-inc.com,626299.0,179.0,40/100,50/100,4/10,1760.0,3850.0,23941.12,32.63% (Text size 7.63Kb and  Code size 15.75Kb),,,,,,,
398,Hershey,7986.3,1149.7,8140.4,27791.8,15330,http://www.thehersheycompany.com,150992.0,102625.0,55.18/100,62.85/100,6.16/10,7290.0,15960.0,22743.04,33.06% (Text size 7.34Kb and  Code size 14.87Kb),10128.0,25339.0,137370.0,141126.0,0.0,0.0,0.0
399,Zimmer Biomet Holdings,7982.2,1131.6,24638.7,20891.4,19900,www.zimmerbiomet.com,795763.0,0.0,0/100,0/100,0/10,1380.0,3030.0,33249.28,26.47% (Text size 8.6Kb and  Code size 23.87Kb),155151.0,894.0,5059.0,3582.0,6.0,0.0,0.0
400,Cincinnati Financial,7924.2,1997.4,25407.9,12241.5,5200,http://www.cinfin.com,174326.0,0.0,0/100,0/100,0/10,6310.0,13820.0,52725.76,28.57% (Text size 14.71Kb and  Code size 36.78Kb),,,,,,,
401,Western & Southern Financial Group,7920.5,244.9,54702.7,-,2787,http://www.westernsouthern.com,1199458.0,0.0,0/100,0/100,0/10,917.0,2010.0,65536.0,33.13% (Text size 21.21Kb and  Code size 42.79Kb),83889.0,5560.0,17143.0,86857.0,0.0,0.0,0.0
402,W.R. Berkley,7902.2,681.9,26643.4,9569.1,7493,http://www.wrberkley.com,422577.0,0.0,0/100,0/100,0/10,2600.0,5700.0,28979.2,17.85% (Text size 5.05Kb and  Code size 23.25Kb),136349.0,1007.0,5939.0,22809.0,0.0,0.0,0.0
403,Motorola Solutions,7887.0,868,10642.0,22802.9,17000,http://www.motorolasolutions.com,38213.0,0.0,0/100,0/100,0/10,28790.0,63040.0,65536.0,44.58% (Text size 28.53Kb and  Code size 35.47Kb),,,,,,,
404,Thor Industries,7864.8,133.3,5660.4,2328.3,21750,http://www.thorindustries.com,,,,,,,,,,,,,,,,
405,Regeneron Pharmaceuticals,7863.4,2115.8,14805.2,53721.6,8100,http://www.regeneron.com,236729.0,0.0,0/100,0/100,0/10,4650.0,10180.0,49131.52,39.49% (Text size 18.95Kb and  Code size 29.03Kb),27506.0,3185.0,46296.0,67181.0,0.0,0.0,0.0
406,Spirit AeroSystems Holdings,7863.1,530.1,7606.0,2506.5,18200,http://www.spiritaero.com,568331.0,0.0,0/100,0/100,0/10,1940.0,4240.0,,,,,,,,,
407,J.M. Smucker,7838.0,514.4,16711.3,12658.2,7400,http://www.jmsmucker.com,492100.0,0.0,0/100,0/100,0/10,2240.0,4900.0,63037.44,38.07% (Text size 23.44Kb and  Code size 38.13Kb),,,,,,,
408,PPL,7769.0,1746,45680.0,18949.6,12280,http://www.pplweb.com,1175098.0,0.0,0/100,0/100,0/10,936.0,2050.0,,,,,,,,,
