,Rank,Company,Revenue($m),Profits($m),Assets($m),Market Value($m),Employees,Domain,Alexa Rank,Back Links,Page Authority,Domain Authority,Moz Rank,Page Views,Domain Worth,Code Size,Text to Code Ratio,Semrush Rank,Organic Keywords,Organic Traffic,Opportunity Cost,Adwords Keywords,Adwords Traffic,Adwords Budget
288,298,Molson Coors Beverage,10579.4,241.7,28859.8,8441,17700,molsoncoors.com,190988,0,0/,0/,0/,5.76K,12.61K,,'0.68%,,,,,,,
289,299,Steel Dynamics,10465.0,671.1,8275.8,4793.8,8385,steeldynamics.com,784183,0,0/,0/,0/,1.4K,3.07K,,'0.68%,,,,,,,
290,300,Mutual of Omaha Insurance,10455.7,271.5,50173.6,-,6072,mutualofomaha.com,52387,0,0/,0/,0/,21K,45.98K,,'0.68%,,,,,,,
291,301,Sonic Automotive,10454.3,144.1,4071.0,567.1,9300,sonicautomotive.com,498957,0,0/,0/,0/,2.2K,4.83K,,'0.68%,,,,,,,
292,302,Alcoa,10433.0,-1125,14631.0,1145.2,13800,alcoa.com,344973,0,0/,0/,0/,3.19K,6.98K,,'0.68%,,,,,,,
293,303,Fidelity National Information Services,10333.0,298,83806.0,74969.4,55000,fisglobal.com,7500,0,0/,0/,0/,146.67K,321.2K,,'0.68%,19792,63427,127783,304553$,135,3200,14808$
294,304,Henry Schein,10305.3,694.7,7151.1,7244.1,19000,henryschein.com,93114,0,0/,0/,0/,11.81K,25.87K,,'0.68%,11898,98867,180693,394981$,346,2086,2580$
295,305,Republic Services,10299.4,1073.3,22683.8,23955.7,36000,republicservices.com,34003,0,0/,0/,0/,32.35K,70.85K,,'0.68%,,,,,,,
296,306,Liberty Media,10292.0,106,44189.0,9971.6,6753,libertymedia.com,775573,0,0/,0/,0/,1.42K,3.1K,,'0.68%,,,,,,,
297,307,Peter Kiewit Sons',10283.0,419,5717.0,-,23000,kiewit.com,74759,0,0/,0/,0/,14.71K,32.22K,,'0.68%,,,,,,,
298,308,Interpublic Group,10221.3,656,17751.9,6278.9,54300,interpublic.com,32220,0,0/,0/,0/,34.14K,74.77K,,'0.68%,,,,,,,
299,309,PulteGroup,10213.0,1016.7,10715.6,6014.8,5245,pultegroupinc.com,1084481,0,0/,0/,0/,1.01K,2.22K,,'0.68%,,,,,,,
300,310,AES,10189.0,303,33648.0,9040.8,8000,aes.com,638621,0,0/,0/,0/,1.72K,3.77K,,'0.68%,,,,,,,
301,311,Fiserv,10187.0,893,77539.0,64507.6,44000,fiserv.com,32404,0,0/,0/,0/,33.95K,74.34K,,'0.68%,,,,,,,
302,312,BorgWarner,10168.0,746,9702.0,5037.4,29000,borgwarner.com,196419,0,0/,0/,0/,5.6K,12.26K,,'0.68%,,,,,,,
303,313,Oneok,10164.4,1278.6,21812.1,9014.5,2882,oneok.com,417396,0,0/,0/,0/,2.64K,5.77K,,'0.68%,,,,,,,
304,314,O'Reilly Automotive,10150.0,1391,10717.2,22353.4,67663,oreillyauto.com,11148,0,0/,0/,0/,98.67K,216.09K,,'0.68%,,,,,,,
305,315,Assurant,10086.8,382.6,44291.2,6217.9,13900,assurant.com,64346,0,0/,0/,0/,17.1K,37.44K,,'0.68%,,,,,,,
306,316,Newell Brands,10083.1,106.6,15642.0,5949.1,30000,newellbrands.com,223868,0,0/,0/,0/,4.91K,10.76K,,'0.68%,98100,2629,9760,5853$,0,0,0$
307,317,Public Service Enterprise Group,10076.0,1693,47730.0,22685.3,12992,pseg.com,26477,0,0/,0/,0/,41.55K,90.99K,,'0.68%,,,,,,,
308,318,News Corp.,10074.0,155,15711.0,5279.7,28000,newscorp.com,438073,0,0/,0/,0/,2.51K,5.5K,,'0.68%,,,,,,,
309,319,Calpine,10072.0,770,16649.0,-,2256,calpine.com,833636,0,0/,0/,0/,1.32K,2.89K,,'0.68%,,,,,,,
310,320,Auto-Owners Insurance,10007.4,1352.4,27134.8,-,6141,auto-owners.com,86714,0,0/,0/,0/,12.69K,27.78K,,'0.68%,,,,,,,
311,321,Mohawk Industries,9970.7,744.2,13386.7,5464.3,41800,mohawkind.com,402179,0,0/,0/,0/,2.74K,5.99K,,'0.68%,,,,,,,
312,322,PVH,9909.0,417.3,13631.0,2746.2,30750,pvh.com,107083,0,0/,0/,0/,10.27K,22.5K,,'0.68%,,,,,,,
313,322,Campbell Soup,9909.0,211,13148.0,13928.5,19000,campbellsoupcompany.com,397712,0,0/,0/,0/,2.77K,6.06K,,'0.68%,,,,,,,
314,324,NRG Energy,9871.0,4438,12531.0,6829.8,4577,nrgenergy.com,319028,0,0/,0/,0/,3.45K,7.55K,,'0.68%,,,,,,,
315,325,Fifth Third Bancorp,9790.0,2512,169369.0,10560.3,19869,53.com,3125,0,0/,0/,0/,352K,770.88K,,'0.68%,1120,55785,1721826,3191872$,3,2,0$
316,326,Hertz Global Holdings,9779.0,-58,24627.0,878,38000,hertz.com,7239,0,0/,0/,0/,151.95K,332.78K,,'0.68%,,,,,,,
317,327,Altice USA,9760.9,138.9,34108.1,14109.5,10700,alticeusa.com,132187,0,0/,0/,0/,8.32K,18.22K,,'0.68%,64867,3297,27473,56488$,0,0,0$
318,328,Newmont,9740.0,2805,39974.0,36576.6,16600,newmont.com,211897,0,0/,0/,0/,5.19K,11.37K,,'0.68%,,,,,,,
319,329,Cheniere Energy,9730.0,648,35492.0,8511.8,1530,cheniere.com,922026,0,0/,0/,0/,1.19K,2.61K,,'0.68%,,,,,,,
320,330,Advance Auto Parts,9709.0,486.9,11248.5,6461.3,53000,advanceautoparts.com,9562,0,0/,0/,0/,115.04K,251.93K,,'0.68%,484,994628,5910452,3581548$,5416,239705,69636$
321,331,Lam Research,9653.6,2191.4,12001.3,34931.6,10700,lamresearch.com,162550,0,0/,0/,0/,6.77K,14.82K,,'0.68%,,,,,,,
322,332,Owens & Minor,9650.0,-62.4,3643.1,576.9,15400,owens-minor.com,462588,0,0/,0/,0/,2.38K,5.2K,,'0.68%,,,,,,,
323,334,Conagra Brands,9538.4,678.3,22213.8,14290.8,18000,conagrabrands.com,222192,0,0/,0/,0/,4.95K,10.84K,,'0.68%,44516,15621,43917,26178$,0,0,0$
324,335,Markel,9526.2,1790.5,37473.8,12787.1,18600,markelcorp.com,669669,0,0/,0/,0/,1.64K,3.6K,,'0.68%,546215,1428,1823,3448$,0,0,0$
325,336,Jones Financial (Edward Jones),9526.0,1092,19317.0,-,49000,edwardjones.com,13918,0,0/,0/,0/,79.03K,173.08K,,'0.68%,,,,,,,
326,337,Hormel Foods,9497.3,978.8,8109.0,25081.9,18800,hormelfoods.com,466298,0,0/,0/,0/,2.36K,5.17K,,'0.68%,,,,,,,
327,338,Hilton Worldwide Holdings,9452.0,881,14957.0,18933,173000,hiltonworldwide.com,426762,0,0/,0/,0/,2.58K,5.64K,,'0.68%,,,,,,,
328,339,Univar Solutions,9443.8,-100.2,6494.8,1810.4,10300,univarsolutions.com,432118,0,0/,0/,0/,2.55K,5.58K,,'0.68%,,,,,,,
329,340,United Rentals,9351.0,1174,18970.0,7622.6,19100,unitedrentals.com,134794,225,48,57,4.,8.16K,17.87K,,'0.68%,7447,49186,199552,338696$,363,5268,6060$
330,341,Pioneer Natural Resources,9304.0,756,19067.0,11624.9,2323,pxd.com,424480,0,0/,0/,0/,2.59K,5.67K,,'0.68%,,,,,,,
331,342,Delek US Holdings,9298.2,310.6,7016.3,1190.1,3707,delekus.com,1035231,0,0/,0/,0/,1.06K,2.33K,,'0.68%,,,,,,,
332,343,Eastman Chemical,9273.0,759,16008.0,6330,14500,eastman.com,183724,0,0/,0/,0/,5.99K,13.11K,,'0.68%,,,,,,,
